,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
220,Panini Stars & Stripes USA USA National Team Development Program Signature Materials,2023,0,0,–,0,0,0,0,0,0,1,5,0,6
221,Panini Stars & Stripes USA USA National Team Development Program Signatures,2023,0,0,–,0,0,0,0,0,0,2,6,5,13
222,Panini Three and Two,2023,0,0,–,0,0,0,0,1,14,21,33,10,79
223,Panini Three and Two All Prospect Team,2023,0,0,–,0,0,0,0,0,0,1,11,6,18
224,Panini Three and Two Autographed Jerseys,2023,0,0,–,0,0,0,0,1,1,7,16,2,27
225,Panini Three and Two Contemporaries,2023,0,0,–,0,0,0,0,0,0,2,12,6,20
226,Panini Three and Two Day One Autographs,2023,0,0,–,0,0,0,1,0,0,1,2,2,6
227,Panini Three and Two Full Count,2023,0,0,–,0,0,0,0,0,0,4,13,6,23
228,Panini Three and Two Full Count Swatches,2023,0,0,–,0,0,0,0,0,0,1,5,2,8
229,Panini Three and Two Jumbo Swatches,2023,0,0,–,0,0,0,0,0,0,2,1,1,4
230,Panini Three and Two Legendary Signatures,2023,0,0,–,0,0,0,0,0,1,0,5,0,6
231,Panini Three and Two Lone Star Signatures,2023,0,0,–,0,0,0,0,0,1,3,10,0,14
232,Panini Three and Two Moments,2023,0,0,–,0,0,0,0,0,1,3,1,0,5
233,Panini Three and Two on the Horizon,2023,0,0,–,0,0,0,0,0,0,1,5,9,15
234,Panini Three and Two Plus One Autographs,2023,0,0,–,0,0,0,0,0,0,1,4,2,7
235,Panini Three and Two Prospect Dual Jerseys,2023,0,0,–,0,0,0,0,0,0,0,3,2,5
236,Panini Three and Two Prospect Jerseys,2023,0,0,–,0,0,0,0,2,0,9,7,4,22
237,Panini Three and Two Prospect Quad Jerseys,2023,0,0,–,0,0,0,0,0,0,0,3,0,3
238,Panini Three and Two Quad Jersey Autographs,2023,0,0,–,0,0,0,0,1,0,2,5,1,9
239,Panini Three and Two Rookie Dual Jersey Autographs,2023,0,0,–,0,0,0,0,2,0,1,4,1,8
240,Panini Three and Two Sluggers,2023,0,0,–,0,0,0,0,2,0,2,6,1,11
241,Panini Three and Two Spotlight Spikes,2023,0,0,–,0,0,0,0,0,0,1,3,0,4
242,Panini Three and Two Superstar Signatures,2023,0,0,–,0,0,0,0,1,0,4,0,1,6
243,Panini Three and Two Timeless Moments Autographs,2023,0,0,–,0,0,0,0,1,1,2,0,0,4
244,Scc Kbo Rainbow Draft Check,2023,0,0,–,0,0,0,0,0,0,0,2,0,2
245,Scc Kbo Rainbow Draft on-Card Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
246,Topps,2023,32,2,–,0,6,7,46,157,224,"1,709","10,336","23,259","35,778"
247,Topps 1988 Topps All-Star Baseball,2023,0,0,–,0,0,0,0,3,4,30,68,104,209
248,Topps 1988 Topps All-Star Baseball Autographs,2023,2,0,–,0,0,0,1,4,14,34,24,7,86
249,Topps 1988 Topps All-Star Baseball Relics,2023,0,0,–,0,0,0,1,2,2,18,33,7,63
250,Topps 1988 Topps Baseball,2023,1,0,–,0,0,1,5,12,48,233,930,979,"2,209"
251,Topps 1988 Topps Baseball Autographs,2023,23,0,–,0,0,2,3,35,115,374,822,382,"1,756"
252,Topps 1988 Topps Baseball Relics,2023,0,0,–,0,0,0,6,6,19,88,176,94,389
253,Topps 1st Edition,2023,0,0,–,0,0,0,4,5,11,84,575,782,"1,461"
254,Topps 1st Edition Baseball Stars Autographs,2023,1,0,–,0,0,0,0,0,1,0,15,14,31
255,Topps 2022 Greatest Hits,2023,0,0,–,0,0,0,1,1,8,152,640,296,"1,098"
256,Topps 2022 Greatest Hits Autographs,2023,0,0,–,0,0,0,0,0,2,1,1,0,4
257,Topps 2022 Silver Slugger Award Winners Commemorative Patch,2023,0,0,–,0,0,0,0,2,3,7,6,0,18
258,Topps 2023 World Baseball Classic Stars,2023,2,0,–,0,0,0,0,1,8,50,110,29,200
259,Topps 206 Low Series,2023,0,0,–,0,0,0,0,1,2,3,16,92,114
260,Topps 206 Low Series 205 Gold Border,2023,0,0,–,0,0,0,0,0,0,0,4,16,20
261,Topps 206 Low Series Autograph,2023,0,0,–,0,0,0,0,0,0,1,2,18,21
262,Topps 582 Montgomery Set,2023,0,0,–,0,0,0,0,0,2,34,189,518,743
263,Topps All Aces,2023,1,0,–,0,0,2,5,11,11,70,609,"1,612","2,321"
264,Topps All Aces Autographs,2023,0,0,–,0,0,0,0,0,2,0,11,26,39
265,Topps Allen & Ginter,2023,0,0,–,0,0,1,0,0,1,4,27,77,110
266,Topps Allen & Ginter A & G Boxloader Autograph,2023,1,0,–,0,0,0,0,0,0,0,0,0,1
267,Topps Allen & Ginter A & G Rookie Design Variation Mini,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
